Step,AgentID,Color,Transporting,Position
0,1120,green,[],"(9, 12)"
0,1121,green,[],"(4, 22)"
0,1122,green,[],"(6, 21)"
0,1123,green,[],"(3, 14)"
0,1124,green,[],"(0, 23)"
0,1125,yellow,[],"(12, 0)"
0,1126,yellow,[],"(16, 26)"
0,1127,yellow,[],"(18, 23)"
0,1128,yellow,[],"(21, 16)"
0,1129,yellow,[],"(12, 23)"
0,1130,red,[],"(27, 4)"
0,1131,red,[],"(26, 23)"
0,1132,red,[],"(22, 1)"
0,1133,red,[],"(26, 30)"
0,1134,red,[],"(25, 16)"
1,1120,green,[],"(9, 11)"
1,1121,green,[],"(5, 21)"
1,1122,green,[],"(5, 22)"
1,1123,green,[],"(4, 15)"
1,1124,green,[],"(1, 22)"
1,1125,yellow,[],"(11, 0)"
1,1126,yellow,[],"(15, 26)"
1,1127,yellow,[],"(17, 23)"
1,1128,yellow,[],"(20, 16)"
1,1129,yellow,[],"(11, 23)"
1,1130,red,[],"(26, 4)"
1,1131,red,[],"(25, 23)"
1,1132,red,[],"(21, 1)"
1,1133,red,[],"(25, 30)"
1,1134,red,[1118],"(24, 16)"
2,1120,green,[],"(8, 10)"
2,1121,green,[],"(6, 22)"
2,1122,green,[],"(6, 23)"
2,1123,green,[],"(5, 14)"
2,1124,green,[],"(2, 23)"
2,1125,yellow,[],"(10, 0)"
2,1126,yellow,[],"(14, 26)"
2,1127,yellow,[],"(16, 23)"
2,1128,yellow,[1109],"(19, 16)"
2,1129,yellow,[],"(10, 23)"
2,1130,red,[1111],"(25, 4)"
2,1131,red,[],"(24, 23)"
2,1132,red,[],"(21, 0)"
2,1133,red,[],"(24, 30)"
2,1134,red,[1118],"(25, 16)"
3,1120,green,[],"(9, 9)"
3,1121,green,[],"(7, 21)"
3,1122,green,[],"(5, 24)"
3,1123,green,[],"(6, 15)"
3,1124,green,[],"(3, 22)"
3,1125,yellow,[],"(10, 1)"
3,1126,yellow,[],"(13, 26)"
3,1127,yellow,[],"(15, 23)"
3,1128,yellow,[1109],"(18, 16)"
3,1129,yellow,[],"(10, 24)"
3,1130,red,[1111],"(26, 4)"
3,1131,red,[],"(23, 23)"
3,1132,red,[],"(21, 1)"
3,1133,red,[],"(23, 30)"
3,1134,red,[1118],"(26, 16)"
4,1120,green,[],"(8, 8)"
4,1121,green,[],"(8, 22)"
4,1122,green,[],"(6, 25)"
4,1123,green,[],"(7, 14)"
4,1124,green,[],"(4, 23)"
4,1125,yellow,[],"(10, 0)"
4,1126,yellow,[],"(12, 26)"
4,1127,yellow,[],"(14, 23)"
4,1128,yellow,[1109],"(17, 16)"
4,1129,yellow,[],"(10, 25)"
4,1130,red,[1111],"(27, 4)"
4,1131,red,[],"(22, 23)"
4,1132,red,[],"(21, 2)"
4,1133,red,[],"(22, 30)"
4,1134,red,[1118],"(27, 16)"
5,1120,green,[],"(9, 7)"
5,1121,green,[],"(9, 21)"
5,1122,green,[],"(5, 26)"
5,1123,green,[],"(8, 15)"
5,1124,green,[],"(5, 22)"
5,1125,yellow,[],"(10, 1)"
5,1126,yellow,[],"(11, 26)"
5,1127,yellow,[],"(13, 23)"
5,1128,yellow,[1109],"(16, 16)"
5,1129,yellow,[],"(10, 26)"
5,1130,red,[1111],"(28, 4)"
5,1131,red,[],"(21, 23)"
5,1132,red,[],"(21, 1)"
5,1133,red,[],"(21, 30)"
5,1134,red,[1118],"(28, 16)"
6,1120,green,[],"(8, 6)"
6,1121,green,[],"(10, 22)"
6,1122,green,[1098],"(6, 27)"
6,1123,green,[],"(9, 14)"
6,1124,green,[],"(6, 23)"
6,1125,yellow,[],"(10, 2)"
6,1126,yellow,[],"(10, 26)"
6,1127,yellow,[],"(12, 23)"
6,1128,yellow,[1109],"(15, 16)"
6,1129,yellow,[],"(10, 25)"
6,1130,red,[1111],"(29, 4)"
6,1131,red,[],"(21, 24)"
6,1132,red,[],"(21, 2)"
6,1133,red,[],"(21, 31)"
6,1134,red,[1118],"(29, 16)"
7,1120,green,[],"(9, 5)"
7,1121,green,[],"(10, 23)"
7,1122,green,[1098],"(5, 28)"
7,1123,green,[],"(10, 15)"
7,1124,green,[],"(7, 22)"
7,1125,yellow,[],"(10, 1)"
