,Green Waste,Yellow Waste,Red Waste,Disposed Waste,Progress
0,10,10,10,0,0.0
1,10,10,10,0,0.0
2,10,10,10,0,0.0
3,10,10,10,0,0.0
4,10,10,10,0,0.0
5,10,10,10,0,0.0
6,10,10,10,0,0.0
7,10,10,10,0,0.0
8,10,10,10,0,0.0
9,8,11,10,0,0.0
10,8,11,10,0,0.0
11,8,11,10,0,0.0
12,8,11,10,0,0.0
13,8,11,10,0,0.0
14,8,11,10,0,0.0
15,8,11,10,0,0.0
16,8,11,10,0,0.0
17,8,11,10,0,0.0
18,8,11,10,0,0.0
19,8,11,10,0,0.0
20,8,11,10,0,0.0
21,8,11,10,0,0.0
22,8,11,10,0,0.0
23,8,11,10,0,0.0
24,8,11,10,0,0.0
25,6,12,10,0,0.0
26,6,12,10,1,0.058823529411764705
27,6,12,10,1,0.058823529411764705
28,6,12,10,1,0.058823529411764705
29,6,12,10,1,0.058823529411764705
30,6,12,10,1,0.058823529411764705
31,6,12,10,1,0.058823529411764705
32,6,12,10,1,0.058823529411764705
33,6,12,10,1,0.058823529411764705
34,6,12,10,1,0.058823529411764705
35,6,12,10,1,0.058823529411764705
36,6,12,10,1,0.058823529411764705
37,6,12,10,1,0.058823529411764705
38,6,12,10,2,0.11764705882352941
39,6,12,10,2,0.11764705882352941
40,6,12,10,2,0.11764705882352941
41,6,12,10,2,0.11764705882352941
42,6,12,10,2,0.11764705882352941
43,6,12,10,2,0.11764705882352941
44,6,12,10,2,0.11764705882352941
45,6,12,10,2,0.11764705882352941
46,6,12,10,2,0.11764705882352941
47,6,12,10,2,0.11764705882352941
48,6,12,10,2,0.11764705882352941
49,6,12,10,2,0.11764705882352941
50,6,10,11,2,0.11764705882352941
51,6,10,11,2,0.11764705882352941
52,6,10,11,2,0.11764705882352941
53,6,10,11,2,0.11764705882352941
54,6,10,11,2,0.11764705882352941
55,6,10,11,2,0.11764705882352941
56,6,10,11,2,0.11764705882352941
57,6,10,11,2,0.11764705882352941
58,6,10,11,2,0.11764705882352941
59,6,10,11,2,0.11764705882352941
60,6,10,11,2,0.11764705882352941
61,6,10,11,2,0.11764705882352941
62,6,10,11,2,0.11764705882352941
63,6,10,11,2,0.11764705882352941
64,6,10,11,2,0.11764705882352941
65,6,10,11,2,0.11764705882352941
66,6,10,11,2,0.11764705882352941
67,6,10,11,2,0.11764705882352941
68,6,10,11,2,0.11764705882352941
69,6,10,11,2,0.11764705882352941
70,6,10,11,2,0.11764705882352941
71,6,10,11,2,0.11764705882352941
72,6,10,11,2,0.11764705882352941
73,4,11,11,2,0.11764705882352941
74,4,11,11,2,0.11764705882352941
75,4,11,11,2,0.11764705882352941
